BeerID,Name,BrewerID,BrewerName,OverallPctl,StylePctl,BeerStyleName,Alcohol,IBU,Description
259898,Poor House Bitter Side Imperial IPA,15362,Poor House Brewing Company,null,null,Imperial/Double IPA,8.7,null,
259903,Short's Yeager's Puff,3525,Short's Brewing Company,null,null,American Pale Ale,3.75,null,Yeager's Puff is a golden light bodied hoppy Session Ale brewed exclusively with Michigan grown hops and malted barley. Delicate aromas of light lemon citrus and assorted herbs contrast with the initial flavors of hearty milled grains. The low overall sweetness gives way quickly to an impacting grassy bitterness that lingers well into the finish.
259904,Pizza Port Poormans IPA - Ginger & Honey,1538,Pizza Port (Carlsbad),null,null,Imperial/Double IPA,9,null,Cask only
259905,Coors Light Summer Brew,113,Coors Brewing Company (MillerCoors),7.896146607,29.69233447,Fruit Beer/Radler,3.9,null,
259906,Other Half Veldrijden Love,18293,Other Half Brewing,61.47178652,32.19866764,Saison,7.8,null,Farmhouse style ale with spelt
259907,Hop Alley Hellfire IPA,17198,Hop Alley Brew Pub,null,null,India Pale Ale (IPA),6.6,null,
259909,Rock Bottom Long Beach Grand Prix Gold,4287,Rock Bottom Long Beach,null,null,Golden Ale/Blond Ale,5.7,30,This golden ale has a light body
259910,Rock Bottom Long Beach Signal Hill Stout,4287,Rock Bottom Long Beach,null,null,Stout,6.2,42,An oatmeal stout
259911,White River Jam Up Black Berry Ale,16231,White River Brewing Company,null,null,Fruit Beer/Radler,7,null,This Belgian style blond starts fruity
259912,Juraku Kuradashi Genshu Sake,19360,Sasaki Shuzo,null,null,Saku00E9 - Genshu,19,null,聚楽 蔵出原酒rn濾過や加水処理を一切せずに、出来上がりのお酒そのままを瓶詰めした清酒の原点です。よく冷やすか、オンザロックでどうぞ。
259913,Reuzenbieren Reuz stout,12469,Reuzenbieren,null,null,Imperial Stout,9.5,45,Ingrediu00EBnten: water; mout: pilsmout 3 ebc
259914,Ballast Point R&D Firkin' Hoppy,434,Ballast Point Brewing Company,null,null,India Pale Ale (IPA),6.5,null,English IPA
259915,Ballast Point UNITE Pale Ale,434,Ballast Point Brewing Company,null,null,American Pale Ale,5.1,null,
259916,Bacchus Redlands Rye,12821,Bacchus Brewing Company,null,null,Specialty Grain,3,null,
259917,Mont Sal\u00E8ve Rye Porter,12346,Mont Sal\u00E8ve,null,null,Porter,4.6,null,
259918,Ashley Down York Street,12671,Ashley Down,null,null,Bitter,3.5,null,Cask; Regular.rnNamed for the new home of the brewery
259919,All In Brewing \/ Beerbliotek Ales In Wineyland Strong Ale,15856,All In Brewing,83.48520046,41.91831883,Barley Wine,9.5,null,
259920,Alsem's Porter,678,Brouwerij Van Steenberge,null,null,Porter,6.2,null,Brewed for J. P. Alsem Den Haag
259921,B&T Plum Mild,1948,B&T Brewery,null,null,Fruit Beer/Radler,3.8,null,Cask; Status uncertainrnFirst seen in February 2014 and billed as a monthly special for that month but appears to have remained in production afterwards.
259922,Epoj\u00E9 Heraclito,19361,Epoj\u00E9,null,null,Porter,5.3,null,
